MH, FITNESS
WOA, 0.0233
WOA, 0.0183
WOA, 0.0162
WOA, 0.0365
WOA, 0.812
WOA, 0.584
WOA, 0.496
WOA, 0.592
WOA, 0.257
WOA, 0.582
WOA, 0.324
WOA, 0.237
WOA, 0.63
WOA, 0.0991
WOA, 0.698
SRO, 164.0
SRO, 1320.0
SRO, 2290.0
SRO, 8820.0
SRO, 6200.0
SRO, 3070.0
SRO, 11300.0
SRO, 10500.0
SRO, 5580.0
SRO, 5200.0
SRO, 7590.0
SRO, 6560.0
SRO, 6790.0
PSO, 7.19e-11
PSO, 1.55e-11
PSO, 4.65e-12
PSO, 3.03e-09
PSO, 0.0191
PSO, 0.0201
PSO, 0.00166
PSO, 0.0159
PSO, 0.0332
PSO, 0.00368
PSO, 0.0206
PSO, 0.0374
PSO, 0.016
PSO, 0.0326
PSO, 0.0123
