iter,fitness,time,XPL,XPT,DIV
0,2.38e+04,0.017,100.0,0.0,0.462
1,1.63e+04,0.02,92.21,7.79,0.426
2,1.15e+04,0.029,79.87,20.13,0.369
3,7.85e+03,0.039,68.18,31.82,0.315
4,5.44e+03,0.047,61.04,38.96,0.282
5,4.10e+03,0.056,55.41,44.59,0.256
6,3.11e+03,0.068,49.13,50.87,0.227
7,2.44e+03,0.066,45.02,54.98,0.208
8,1.74e+03,0.08,42.21,57.79,0.195
9,1.34e+03,0.082,39.39,60.61,0.182
10,9.63e+02,0.096,36.58,63.42,0.169
11,7.49e+02,0.078,34.2,65.8,0.158
12,6.25e+02,0.083,32.03,67.97,0.148
13,6.25e+02,0.081,29.87,70.13,0.138
14,6.05e+02,0.096,26.84,73.16,0.124
15,6.05e+02,0.099,25.11,74.89,0.116
16,4.80e+02,0.095,22.94,77.06,0.106
17,4.80e+02,0.172,20.35,79.65,0.094
18,4.80e+02,0.202,18.18,81.82,0.084
