iter,fitness,time,XPL,XPT,DIV
0,2.27e+03,0.001,100.0,0.0,51.122
1,2.27e+03,0.005,96.84,3.16,49.507
2,2.27e+03,0.001,97.56,2.44,49.875
3,2.27e+03,0.001,100.0,0.0,53.13
4,2.27e+03,0.001,90.61,9.39,48.143
5,1.11e+02,0.001,89.43,10.57,47.512
6,0.00e+00,0.001,88.75,11.25,47.153
7,0.00e+00,0.0,88.84,11.16,47.202
8,0.00e+00,0.0,88.87,11.13,47.214
9,0.00e+00,0.001,88.96,11.04,47.266
10,0.00e+00,0.001,89.03,10.97,47.304
11,0.00e+00,0.001,89.0,11.0,47.288
12,0.00e+00,0.0,89.04,10.96,47.307
13,0.00e+00,0.001,89.2,10.8,47.394
14,0.00e+00,0.001,89.32,10.68,47.455
15,0.00e+00,0.0,89.31,10.69,47.451
16,0.00e+00,0.0,89.13,10.87,47.357
17,0.00e+00,0.002,88.86,11.14,47.21
18,0.00e+00,0.001,88.66,11.34,47.104
19,0.00e+00,0.0,88.89,11.11,47.227
